title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Gran Turismo (PSP),PSN,Racing,Sony Computer Entertainment,7.8,2.82,0.43,0.31,0.91,1.16,2009-10-01
Medal of Honor,PS3,Shooter,Electronic Arts,6.7,2.82,1.28,0.07,1.04,0.43,2010-10-12
Imagine: Fashion Designer,DS,Simulation,Ubisoft,3.0,2.81,1.32,0.0,1.19,0.3,2007-10-23
Need for Speed: Hot Pursuit,PS3,Racing,Electronic Arts,8.9,2.81,1.05,0.03,1.24,0.49,2010-11-16
Killzone 3,PS3,Shooter,Sony Computer Entertainment,8.2,2.81,1.46,0.09,0.87,0.38,2011-02-22
Skylanders: Spyro's Adventure,Wii,Action,Activision,8.0,2.79,1.35,0.0,1.15,0.3,2011-10-16
A Bug's Life,PS,Platform,Sony Computer Entertainment,3.6,2.79,1.96,0.0,0.72,0.11,1998-10-31
Star Wars: The Force Unleashed,X360,Action,LucasArts,7.1,2.77,1.74,0.0,0.78,0.26,2008-09-16
Saints Row: The Third,X360,Action,THQ,8.3,2.77,1.26,0.07,1.14,0.3,2011-11-15
Battlefield 3,PC,Shooter,Electronic Arts,8.9,2.76,0.89,0.0,1.44,0.43,2011-10-25
Need for Speed: Most Wanted (2012),PS3,Racing,Electronic Arts,8.5,2.74,0.71,0.06,1.52,0.45,2012-10-30
Far Cry: Primal,PS4,Action-Adventure,Ubisoft,7.2,2.73,0.63,0.07,1.61,0.41,2016-02-23
L.A. Noire,X360,Adventure,Rockstar Games,9.1,2.73,1.55,0.02,0.92,0.24,2011-11-15
Overwatch,XOne,Shooter,Blizzard Entertainment,8.7,2.72,1.63,0.0,0.84,0.25,2016-05-24
Need for Speed (2015),PS4,Racing,Electronic Arts,7.0,2.72,0.59,0.06,1.66,0.41,2015-11-03
Skate 3,X360,Sports,EA Sports,8.3,2.71,1.47,0.0,0.99,0.25,2010-05-11
